2007-01,57
2007-02,59
2007-03,44
2007-04,77
2007-05,6
2007-06,5
2007-07,6
2007-08,8
2007-09,7
2007-10,9
2007-11,10
2007-12,13
2008-01,53
2008-02,67
2008-03,43
2008-04,74
2008-05,11
2008-06,8
2008-07,7
2008-08,8
2008-09,8
2008-10,12
2008-11,8
2008-12,13
2009-01,62
2009-02,68
2009-03,42
2009-04,69
2009-05,9
2009-06,10
2009-07,10
2009-08,8
2009-09,9
2009-10,10
2009-11,10
2009-12,16
2010-01,66
2010-02,65
2010-03,44
2010-04,76
2010-05,9
2010-06,9
2010-07,7
2010-08,8
2010-09,9
2010-10,10
2010-11,10
2010-12,15
2011-01,74
2011-02,77
2011-03,44
2011-04,81
2011-05,12
2011-06,11
2011-07,10
2011-08,10
2011-09,10
2011-10,12
2011-11,11
2011-12,16
2012-01,72
2012-02,64
2012-03,42
2012-04,77
2012-05,11
2012-06,10
2012-07,10
2012-08,9
2012-09,10
2012-10,13
2012-11,10
2012-12,18
2013-01,84
2013-02,78
2013-03,46
2013-04,76
2013-05,10
2013-06,10
2013-07,9
2013-08,10
2013-09,9
2013-10,15
2013-11,10
2013-12,18
2014-01,76
2014-02,86
2014-03,51
2014-04,74
2014-05,11
2014-06,10
2014-07,9
2014-08,9
2014-09,10
2014-10,14
2014-11,11
2014-12,19
2015-01,80
2015-02,85
2015-03,54
2015-04,76
2015-05,11
2015-06,10
2015-07,12
2015-08,11
2015-09,10
2015-10,13
2015-11,12
2015-12,20
2016-01,79
2016-02,80
2016-03,49
2016-04,73
2016-05,12
2016-06,10
2016-07,9
2016-08,9
2016-09,11
2016-10,14
2016-11,13
2016-12,19
2017-01,79
2017-02,79
2017-03,51
2017-04,86
2017-05,14
2017-06,13
2017-07,12
2017-08,10
2017-09,12
2017-10,16
2017-11,16
2017-12,23
2018-01,86
2018-02,85
2018-03,54
2018-04,100
