2007-01,3
2007-02,3
2007-03,3
2007-04,3
2007-05,3
2007-06,3
2007-07,3
2007-08,3
2007-09,3
2007-10,3
2007-11,3
2007-12,3
2008-01,3
2008-02,3
2008-03,3
2008-04,3
2008-05,4
2008-06,3
2008-07,3
2008-08,3
2008-09,3
2008-10,3
2008-11,3
2008-12,3
2009-01,3
2009-02,3
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,3
2009-10,3
2009-11,3
2009-12,3
2010-01,3
2010-02,3
2010-03,3
2010-04,3
2010-05,5
2010-06,4
2010-07,4
2010-08,4
2010-09,3
2010-10,3
2010-11,3
2010-12,3
2011-01,3
2011-02,5
2011-03,4
2011-04,4
2011-05,4
2011-06,4
2011-07,4
2011-08,4
2011-09,4
2011-10,4
2011-11,4
2011-12,4
2012-01,4
2012-02,4
2012-03,4
2012-04,4
2012-05,5
2012-06,4
2012-07,4
2012-08,4
2012-09,4
2012-10,4
2012-11,4
2012-12,4
2013-01,4
2013-02,4
2013-03,4
2013-04,4
2013-05,5
2013-06,5
2013-07,5
2013-08,6
2013-09,6
2013-10,6
2013-11,7
2013-12,8
2014-01,9
2014-02,10
2014-03,10
2014-04,11
2014-05,17
2014-06,21
2014-07,20
2014-08,21
2014-09,22
2014-10,24
2014-11,29
2014-12,34
2015-01,26
2015-02,29
2015-03,33
2015-04,41
2015-05,46
2015-06,51
2015-07,56
2015-08,57
2015-09,55
2015-10,55
2015-11,55
2015-12,58
2016-01,60
2016-02,64
2016-03,63
2016-04,71
2016-05,76
2016-06,79
2016-07,83
2016-08,85
2016-09,88
2016-10,92
2016-11,94
2016-12,100
2017-01,96
2017-02,93
2017-03,89
2017-04,91
2017-05,89
2017-06,99
2017-07,95
2017-08,90
2017-09,90
2017-10,88
2017-11,88
2017-12,86
2018-01,79
2018-02,81
2018-03,92
2018-04,83
